Depth  Name          #Inst  Area (um^2) 
----------------------------------------
0      multiplier    16850  21269.53728 
###############################################################
#  Generated by:      Cadence Innovus 18.15-s095_1
#  OS:                Linux x86_64(Host ID edasrv1)
#  Generated on:      Sun Sep  7 19:18:12 2025
#  Design:            multiplier
#  Command:           report_timing >> ${RPT_DIR}/innovus_${DESIGN_NAME}.log
###############################################################
Path 1: MET Path Delay Check
Endpoint:   f[127] (^)
Beginpoint: b[2]   (v) triggered by  leading edge of '@'
Path Groups: {default}
Analysis View: view_tc
- External Delay                0.000
+ Path Delay                  10000.000
= Required Time               10000.000
- Arrival Time                5688.406
= Slack Time                  4311.594
     Clock Rise Edge                      0.000
     + Input Delay                        0.000
     = Beginpoint Arrival Time            0.000
     +-----------------------------------------------------------------------------------+ 
     | Instance |     Arc     |          Cell           |  Delay  |  Arrival |  Required | 
     | U32686   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  19.200 | 5125.107 |  9436.701 | 
     | U32743   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.200 | 5144.307 |  9455.900 | 
     | U32746   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.300 | 5162.606 |  9474.200 | 
     | U32796   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.500 | 5181.106 |  9492.700 | 
     | U32799   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  19.200 | 5200.307 |  9511.900 | 
     | U32847   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.400 | 5219.707 |  9531.301 | 
     | U32850   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  20.000 | 5239.707 |  9551.301 | 
     | U32898   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.400 | 5259.107 |  9570.701 | 
     | U32901   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.600 | 5277.707 |  9589.301 | 
     | U32938   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.400 | 5297.107 |  9608.701 | 
     | U32941   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.500 | 5315.606 |  9627.200 | 
     | U32975   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.800 | 5334.406 |  9646.000 | 
     | U32978   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.100 | 5352.506 |  9664.100 | 
     | U33010   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.700 | 5371.206 |  9682.800 | 
     | U33013   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  17.800 | 5389.006 |  9700.600 | 
     | U33036   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.400 | 5407.406 |  9719.000 | 
     | U33117   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  35.000 | 5442.406 |  9754.000 | 
     | U33162   | A ^ -> Y v  | MAJIxp5_ASAP7_75t_L     |  19.600 | 5462.007 |  9773.601 | 
     | U33163   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  23.700 | 5485.707 |  9797.301 | 
     | U33179   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  17.400 | 5503.107 |  9814.701 | 
     | U33180   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  21.800 | 5524.907 |  9836.501 | 
     | U33193   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  17.700 | 5542.607 |  9854.201 | 
     | U33194   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  22.600 | 5565.207 |  9876.801 | 
     | U33205   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  17.600 | 5582.807 |  9894.400 | 
     | U33206   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  28.700 | 5611.506 |  9923.100 | 
     | U33210   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  14.400 | 5625.905 |  9937.499 | 
     | U33211   | C v -> Y ^  | A2O1A1Ixp33_ASAP7_75t_L |  16.200 | 5642.105 |  9953.699 | 
     | U33212   | B ^ -> Y v  | NAND3xp33_ASAP7_75t_L   |  13.600 | 5655.706 |  9967.300 | 
     | U33213   | C v -> Y ^  | A2O1A1Ixp33_ASAP7_75t_L |  30.200 | 5685.906 |  9997.500 | 
     |          | f[127] ^    |                         |   2.500 | 5688.406 | 10000.000 | 
     +-----------------------------------------------------------------------------------+ 


Power Net Detected:
    Voltage	    Name
    0.00V	    VSS
    0.70V	    VDD
Using Power View: view_tc.
Load RC corner of view view_tc
Set Default Frequency 100MHz.

Begin Power Analysis

    0.00V	    VSS
    0.70V	    VDD

Begin Processing Timing Library for Power Calculation

Begin Processing Timing Library for Power Calculation



Begin Processing Power Net/Grid for Power Calculation

Ended Processing Power Net/Grid for Power Calculation: (cpu=0:00:00, real=0:00:00, mem(process/total/peak)=1318.50MB/3715.21MB/1885.79MB)

Begin Processing Timing Window Data for Power Calculation

Ended Processing Timing Window Data for Power Calculation: (cpu=0:00:00, real=0:00:00, mem(process/total/peak)=1319.10MB/3715.21MB/1885.79MB)

Begin Processing User Attributes

Ended Processing User Attributes: (cpu=0:00:00, real=0:00:00, mem(process/total/peak)=1319.14MB/3715.21MB/1885.79MB)

Begin Processing Signal Activity


Starting Levelizing
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT)
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT): 10%
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT): 20%
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT): 30%
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT): 40%
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT): 50%
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT): 60%
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT): 70%
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT): 80%
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT): 90%

Finished Levelizing
2025-Sep-07 19:18:12 (2025-Sep-07 17:18:12 GMT)

Starting Activity Propagation
2025-Sep-07 19:18:13 (2025-Sep-07 17:18:13 GMT)
** INFO:  (VOLTUS_POWR-1356): No default input activity has been set. Defaulting to 0.2.
Use 'set_default_switching_activity -input_activity' command to change the default activity value.

2025-Sep-07 19:18:13 (2025-Sep-07 17:18:13 GMT): 10%
2025-Sep-07 19:18:13 (2025-Sep-07 17:18:13 GMT): 20%
2025-Sep-07 19:18:13 (2025-Sep-07 17:18:13 GMT): 30%

Finished Activity Propagation
2025-Sep-07 19:18:13 (2025-Sep-07 17:18:13 GMT)
Ended Processing Signal Activity: (cpu=0:00:00, real=0:00:00, mem(process/total/peak)=1320.10MB/3715.21MB/1885.79MB)

Begin Power Computation

      ----------------------------------------------------------
      # of cell(s) missing both power/leakage table: 0
      # of cell(s) missing power table: 0
      # of cell(s) missing leakage table: 0
      # of MSMV cell(s) missing power_level: 0
      ----------------------------------------------------------



Starting Calculating power
2025-Sep-07 19:18:13 (2025-Sep-07 17:18:13 GMT)
2025-Sep-07 19:18:13 (2025-Sep-07 17:18:13 GMT): 10%
2025-Sep-07 19:18:13 (2025-Sep-07 17:18:13 GMT): 20%
2025-Sep-07 19:18:14 (2025-Sep-07 17:18:14 GMT): 30%
2025-Sep-07 19:18:14 (2025-Sep-07 17:18:14 GMT): 40%
2025-Sep-07 19:18:14 (2025-Sep-07 17:18:14 GMT): 50%
2025-Sep-07 19:18:14 (2025-Sep-07 17:18:14 GMT): 60%
2025-Sep-07 19:18:14 (2025-Sep-07 17:18:14 GMT): 70%
2025-Sep-07 19:18:14 (2025-Sep-07 17:18:14 GMT): 80%
2025-Sep-07 19:18:14 (2025-Sep-07 17:18:14 GMT): 90%

Finished Calculating power
2025-Sep-07 19:18:14 (2025-Sep-07 17:18:14 GMT)
Ended Power Computation: (cpu=0:00:01, real=0:00:00, mem(process/total/peak)=1355.74MB/3731.22MB/1885.79MB)

Begin Processing User Attributes

Ended Processing User Attributes: (cpu=0:00:00, real=0:00:00, mem(process/total/peak)=1355.74MB/3731.22MB/1885.79MB)

Ended Power Analysis: (cpu=0:00:02, real=0:00:01, mem(process/total/peak)=1355.80MB/3731.22MB/1885.79MB)

Begin Static Power Report Generation
*----------------------------------------------------------------------------------------
*	Innovus 18.15-s095_1 (64bit) 08/28/2019 09:30 (Linux 2.6.18-194.el5)
*	
*
* 	Date & Time:	2025-Sep-07 19:18:14 (2025-Sep-07 17:18:14 GMT)
*
*----------------------------------------------------------------------------------------
*
*	Design: multiplier
*
*	Liberty Libraries used:
*	        view_tc: ./lib/asap7sc7p5t_AO_LVT_TT_nldm_211120.lib
*	        view_tc: ./lib/asap7sc7p5t_INVBUF_LVT_TT_nldm_220122.lib
*	        view_tc: ./lib/asap7sc7p5t_OA_LVT_TT_nldm_211120.lib
*	        view_tc: ./lib/asap7sc7p5t_SEQ_LVT_TT_nldm_220123.lib
*	        view_tc: ./lib/asap7sc7p5t_SIMPLE_LVT_TT_nldm_211120.lib
*	        view_tc: ./lib/asap7sc7p5t_AO_SLVT_TT_nldm_211120.lib
*	        view_tc: ./lib/asap7sc7p5t_INVBUF_SLVT_TT_nldm_220122.lib
*	        view_tc: ./lib/asap7sc7p5t_OA_SLVT_TT_nldm_211120.lib
*	        view_tc: ./lib/asap7sc7p5t_SEQ_SLVT_TT_nldm_220123.lib
*	        view_tc: ./lib/asap7sc7p5t_SIMPLE_SLVT_TT_nldm_211120.lib
*
*	Parasitic Files used:
*
*       Power View : view_tc
*
*       User-Defined Activity : N.A.
*
*       Activity File: N.A.
*
*       Hierarchical Global Activity: N.A.
*
*       Global Activity: N.A.
*
*       Sequential Element Activity: 0.200000
*
*       Primary Input Activity: 0.200000
*
*       Default icg ratio: N.A.
*
*       Global Comb ClockGate Ratio: N.A.
*
*	Power Units = 1mW
*
*	Time Units = 1e-12 secs
*
*       report_power -hierarchy all
*
-----------------------------------------------------------------------------------------
*



Total Power
-----------------------------------------------------------------------------------------
Total Internal Power:        0.32923777 	   41.4558%
Total Switching Power:       0.45481063 	   57.2673%
Total Leakage Power:         0.01014131 	    1.2769%
Total Power:                 0.79418972
-----------------------------------------------------------------------------------------


Group                           Internal   Switching     Leakage       Total  Percentage 
                                Power      Power         Power         Power  (%)        
-----------------------------------------------------------------------------------------
Sequential                             0           0           0           0           0
Macro                                  0           0           0           0           0
IO                                     0           0           0           0           0
Combinational                     0.3292      0.4548     0.01014      0.7942         100
Clock (Combinational)                  0           0           0           0           0
Clock (Sequential)                     0           0           0           0           0
-----------------------------------------------------------------------------------------
Total                             0.3292      0.4548     0.01014      0.7942         100
-----------------------------------------------------------------------------------------


Rail                  Voltage   Internal   Switching     Leakage       Total  Percentage 
                                Power      Power         Power         Power  (%)        
-----------------------------------------------------------------------------------------
VDD                       0.7     0.3292      0.4548     0.01014      0.7942         100


Hierarchy                       Internal   Switching     Leakage       Total  Percentage 
                                Power      Power         Power         Power  (%)        
-----------------------------------------------------------------------------------------
 
 
-----------------------------------------------------------------------------------------
*	Power Distribution Summary: 
*              Highest Average Power:             FE_DBTC5_a_11 (INVx4_ASAP7_75t_L):        0.0004208
*              Highest Leakage Power:           FE_PDC13_n31596 (BUFx3_ASAP7_75t_SL):        2.042e-05
*                Total Cap:      2.26917e-11 F
*                Total instances in design: 16850
*                Total instances in design with no power:     0
*                Total instances in design with no activty:     0

*                Total Fillers and Decap:     0
-----------------------------------------------------------------------------------------
 
Ended Static Power Report Generation: (cpu=0:00:00, real=0:00:00,
mem(process/total/peak)=1362.70MB/3731.22MB/1885.79MB)

